Brand,Model,CPU,RAM,Storage,Storage type,GPU,Screen,Final Price
MSI,Modern,Intel Core i5,16,512,SSD,iGPU,14.0,699.0
Lenovo,V15,Intel Core i3,8,256,SSD,iGPU,15.6,345.0
Apple,MacBook Pro,Apple M2,8,256,SSD,iGPU,13.3,1619.0
Asus,TUF,Intel Core i7,16,512,SSD,RTX 4050,15.6,1519.01
Acer,Nitro,AMD Ryzen 7,32,1000,SSD,RTX 3080,15.6,2299.0
Razer,Blade,Intel Core i7,16,1000,SSD,RTX 3060,17.3,3099.99
Lenovo,V15,Intel Core i3,8,512,SSD,iGPU,15.6,479.0
HP,250,Intel Core i5,16,512,SSD,iGPU,15.6,629.01
Lenovo,V15,AMD Ryzen 5,16,512,SSD,iGPU,15.6,475.0
Asus,TUF,Intel Core i7,16,1000,SSD,RTX 4060,15.6,1799.0
Lenovo,V15,Intel Core i3,8,256,SSD,iGPU,15.6,449.0
Acer,Nitro,AMD Ryzen 7,16,1000,SSD,RTX 3050,15.6,1299.01
Asus,TUF,Intel Core i7,32,1000,SSD,RTX 4060,15.6,1999.0
Apple,MacBook Air,Apple M2,8,256,SSD,iGPU,13.6,1519.0
HP,Chromebook,Intel Celeron,4,64,eMMC,iGPU,14.0,379.0
MSI,Creator,Intel Core i7,32,1000,SSD,RTX 4060,16.0,2729.01
Medion,Erazer,Intel Core i5,16,512,SSD,RTX 3050,15.6,859.0
LG,Gram,Intel Evo Core i7,32,1000,SSD,iGPU,17.0,1809.01
MSI,Pulse,Intel Core i7,16,1000,SSD,RTX 4060,17.3,1899.0
HP,255,AMD Ryzen 3,8,512,SSD,iGPU,15.6,388.0
Lenovo,V15,Intel Core i5,8,256,SSD,iGPU,15.6,499.0
Lenovo,IdeaPad,AMD Ryzen 5,8,512,SSD,RTX 3050,15.6,944.82
Asus,ROG,Intel Core i7,32,1000,SSD,RTX 4080,16.0,2599.01
Asus,VivoBook,Intel Core i7,16,512,SSD,iGPU,15.6,909.0
MSI,Summit,Intel Evo Core i7,16,1000,SSD,iGPU,13.4,1799.0
Asus,E410,Intel Celeron,4,64,eMMC,iGPU,14.0,452.0
HP,Pavilion,Intel Core i5,16,512,SSD,iGPU,14.0,899.01
LG,Ultra,Intel Core i7,16,1000,SSD,RTX 3050,17.0,1999.0
Lenovo,IdeaPad,Intel Core i5,16,512,SSD,RTX 3050,15.6,1029.01
Lenovo,V15,Intel Core i5,8,512,SSD,iGPU,15.6,509.0
Lenovo,V15,AMD Ryzen 5,8,512,SSD,iGPU,15.6,442.99
MSI,Creator,Intel Core i7,32,1000,SSD,RTX 4050,16.0,2499.0
Samsung,Galaxy Book,Intel Core i5,8,256,SSD,iGPU,15.6,849.0
Dell,Vostro,Intel Core i5,8,256,SSD,iGPU,15.6,690.15
Asus,ExpertBook,Intel Core i5,8,256,SSD,iGPU,14.0,1179.0
Asus,TUF,AMD Ryzen 9,32,1000,SSD,RTX 4070,17.3,1899.01
HP,Victus,Intel Core i7,32,512,SSD,RTX 3060,16.1,1499.01
Asus,TUF,AMD Ryzen 7,32,1000,SSD,RTX 3070,15.6,1889.0
Apple,MacBook Air,Apple M2,8,512,SSD,iGPU,13.6,1869.0
Lenovo,ThinkPad,AMD Ryzen 7,16,512,SSD,iGPU,15.6,1129.0
MSI,Prestige,Intel Evo Core i7,32,1000,SSD,iGPU,13.3,1599.0
Lenovo,IdeaPad,Intel Celeron,8,64,eMMC,iGPU,14.0,391.0
HP,ProBook,Intel Core i5,8,256,SSD,iGPU,15.6,709.0
Dell,Vostro,Intel Core i7,16,512,SSD,iGPU,15.6,889.0
Asus,ROG,Intel Core i9,32,1000,SSD,RTX 4070,16.0,2599.0
MSI,Modern,AMD Ryzen 7,16,512,SSD,iGPU,15.6,899.0
HP,Omen,AMD Ryzen 7,16,512,SSD,RTX 3050,16.1,1399.0
HP,Chromebook,Intel Pentium,8,128,eMMC,iGPU,14.0,458.99
MSI,Creator,Intel Core i9,32,1000,SSD,RTX 4060,17.0,2979.01
MSI,Prestige,Intel Evo Core i7,16,512,SSD,iGPU,14.0,1399.0
HP,Pavilion,Intel Core i7,16,512,SSD,RTX 2050,14.0,1729.01
Acer,Aspire,Intel Core i3,8,512,SSD,iGPU,14.0,599.0
MSI,Raider,Intel Core i7,32,1000,SSD,RTX 4060,16.0,2499.0
Apple,MacBook Air,Apple M2,8,256,SSD,iGPU,15.3,1599.0
Asus,ROG,Intel Core i9,32,1000,SSD,RTX 4090,16.0,3699.01
Acer,Extensa,Intel Core i5,8,512,SSD,iGPU,15.6,450.0
Acer,Aspire,Intel Core i7,16,512,SSD,iGPU,15.6,749.0
Apple,MacBook Pro,Apple M2 Pro,16,512,SSD,iGPU,14.2,2209.0
MSI,Creator,Intel Core i7,16,512,SSD,RTX 3050,16.0,1399.0
Lenovo,V15,AMD Ryzen 5,8,256,SSD,iGPU,15.6,449.0
Alurin,Flex,Intel Core i3,8,512,SSD,iGPU,14.0,449.9
